異	こと, こと.なる, け	イ	uncommon, different, queerness, strangeness, wonderful, curious, unusual	en-us	Grade6
遺	のこ.す	イ, ユイ	bequeath, leave behind, reserve	en-us	Grade6
域		イキ	range, region, limits, stage, level	en-us	Grade6
宇		ウ	eaves, roof, house, heaven	en-us	Grade6
映	うつ.る, うつ.す, は.える, -ば.え	エイ	reflect, reflection, projection	en-us	Grade6
延	の.びる, の.べる, の.べ, の.ばす	エン	prolong, stretching	en-us	Grade6
沿	そ.う, -ぞ.い	エン	run alongside, follow along, run along, lie along	en-us	Grade6
我	われ, わ, わ.が-, わが-	ガ	ego, I, selfish, our, oneself	en-us	Grade6
灰	はい	カイ	ashes, puckery juice, cremate	en-us	Grade6
拡	ひろ.がる, ひろ.げる, ひろ.める	カク, コウ	broaden, extend, expand, enlarge	en-us	Grade6
閣		カク	tower, tall building, palace	en-us	Grade6
革	かわ	カク	leather, skin, reform, become serious	en-us	Grade6
割	わ.る, わり, わ.り, わ.れる, さ.く	カツ	proportion, comparatively, divide, cut, separate, split	en-us	Grade6
株	かぶ	シュ	stocks, stump, shares, stock, counter for small plants	en-us	Grade6
巻	ま.く, まき, ま.き	カン, ケン	scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls)	en-us	Grade6
干	ほ.す, ほ.し-, -ぼ.し, ひ.る	カン	dry, parch, ebb, recede, interfere, intercede	en-us	Grade6
看	み.る	カン	watch over, see	en-us	Grade6
簡	えら.ぶ, ふだ	カン, ケン	simplicity, brevity	en-us	Grade6
危	あぶ.ない, あや.うい, あや.ぶむ	キ	dangerous, fear, uneasy	en-us	Grade6
揮	ふる.う	キ	brandish, wave, wag, swing, shake	en-us	Grade6
机	つくえ	キ	desk, table	en-us	Grade6
貴	たっと.い, とうと.い, たっと.ぶ, とうと.ぶ	キ	precious, value, prize, esteem, honor	en-us	Grade6
疑	うたが.う	ギ	doubt, distrust, be suspicious, question	en-us	Grade6
吸	す.う	キュウ	suck, imbibe, inhale, sip	en-us	Grade6
供	そな.える, とも, -ども	キョウ, ク, クウ, グ	submit, offer, present, serve (meal), accompany	en-us	Grade6
胸	むね, むな-	キョウ	bosom, breast, chest, heart, feelings	en-us	Grade6
郷	さと	キョウ, ゴウ	home town, village, native place, district	en-us	Grade6
勤	つと.める, -づと.め, つと.まる, いそ.しむ	キン, ゴン	diligence, become employed, serve	en-us	Grade6
筋	すじ	キン	muscle, sinew, tendon, fiber, plot, plan, descent	en-us	Grade6
敬	うやま.う	ケイ, キョウ	awe, respect, honor, revere	en-us	Grade6
系		ケイ	lineage, system	en-us	Grade6
警	いまし.める	ケイ	admonish, commandment	en-us	Grade6
劇		ゲキ	drama, play	en-us	Grade6
激	はげ.しい	ゲキ	violent, get excited, enraged, chafe, incite	en-us	Grade6
穴	あな	ケツ	hole, aperture, slit, cave, den	en-us	Grade6
憲		ケン	constitution, law	en-us	Grade6
権	おもり, かり, はか.る	ケン, ゴン	authority, power, rights	en-us	Grade6
絹	きぬ	ケン	silk	en-us	Grade6
厳	おごそ.か, きび.しい, いか.めしい, いつくし	ゲン, ゴン	stern, strictness, severity, rigidity	en-us	Grade6
源	みなもと	ゲン	source, origin	en-us	Grade6
呼	よ.ぶ	コ	call, call out to, invite	en-us	Grade6
己	おのれ, つちのと, な	コ, キ	self	en-us	Grade6
誤	あやま.る, -あやま.る	ゴ	mistake, err, do wrong, mislead	en-us	Grade6
后	きさき	コウ, ゴ	empress, queen, after, behind, back, later	en-us	Grade6
孝		コウ, キョウ	filial piety, child&apos;s respect	en-us	Grade6
皇		コウ, オウ	emperor	en-us	Grade6
紅	べに, くれない, あか.い	コウ, ク	crimson, deep red	en-us	Grade6
鋼	はがね	コウ	steel	en-us	Grade6
降	お.りる, お.ろす, ふ.る, ふ.り, くだ.る, くだ.す	コウ, ゴ	descend, precipitate, fall, surrender	en-us	Grade6
刻	きざ.む, きざ.み	コク	engrave, cut fine, chop, hash, mince, time, carving	en-us	Grade6
穀		コク	cereals, grain	en-us	Grade6
骨	ほね	コツ	skeleton, bone, remains, frame	en-us	Grade6
困	こま.る	コン	quandary, become distressed, annoyed	en-us	Grade6
砂	すな	サ, シャ	sand	en-us	Grade6
座	すわ.る	ザ	squat, seat, cushion, gathering, sit	en-us	Grade6
済	す.む, -ず.み, -ずみ, す.まない, す.ます, -す.ます, すく.う, な.す, わたし, わた.る	サイ, セイ	finish, come to an end, excusable, need not	en-us	Grade6
裁	た.つ, さば.く	サイ	tailor, judge, decision, cut out (pattern)	en-us	Grade6
策		サク	scheme, plan, policy, step, means	en-us	Grade6
冊	ふみ	サツ, サク	tome, counter for books, volume	en-us	Grade6
蚕	かいこ, こ	サン, テン	silkworm	en-us	Grade6
姿	すがた	シ	figure, form, shape	en-us	Grade6
私	わたくし, わたし	シ	private, I, me	en-us	Grade6
至	いた.る	シ	climax, arrive, proceed, reach, attain, result in	en-us	Grade6
視	み.る	シ	inspection, regard as, see, look at	en-us	Grade6
詞		シ	part of speech, words, poetry	en-us	Grade6
誌		シ	document, records	en-us	Grade6
磁		ジ	magnet, porcelain	en-us	Grade6
射	い.る, さ.す, う.つ	シャ	shoot, shine into, onto, archery	en-us	Grade6
捨	す.てる	シャ	discard, throw away, abandon, resign, reject, sacrifice	en-us	Grade6
尺		シャク	shaku, Japanese foot, measure, scale, rule	en-us	Grade6
若	わか.い, わか-, も.しくわ, も.し, も.しくは, ごと.し	ジャク, ニャク, ニャ	young, if, perhaps, possibly, low number, immature	en-us	Grade6
樹	き	ジュ	timber, trees, wood, establish, set up	en-us	Grade6
収	おさ.める, おさ.まる	シュウ	income, obtain, reap, pay, supply, store	en-us	Grade6
宗	むね	シュウ, ソウ	religion, sect, denomination, main point, origin, essence	en-us	Grade6
就	つ.く, つ.ける	シュウ, ジュ	concerning, settle, take position, depart, study, per	en-us	Grade6
衆	おお.い	シュウ, シュ	masses, great numbers, multitude, populace	en-us	Grade6
従	したが.う, したが.える, より	ジュウ, ショウ, ジュ	accompany, obey, submit to, comply, follow, secondary, incidental, subordinate	en-us	Grade6
縦	たて	ジュウ	vertical, length, height, self-indulgent, wayward	en-us	Grade6
縮	ちぢ.む, ちぢ.まる, ちぢ.める, ちぢ.れる, ちぢ.らす	シュク	shrink, contract, shrivel, wrinkle, reduce	en-us	Grade6
熟	う.れる	ジュク	mellow, ripen, mature, acquire skill	en-us	Grade6
純		ジュン	genuine, purity, innocence, net (profit)	en-us	Grade6
処	ところ, -こ, お.る	ショ	dispose, manage, deal with, sentence, condemn, act, behave, place	en-us	Grade6
署		ショ	signature, govt office, police station	en-us	Grade6
諸	もろ	ショ	various, many, several, together	en-us	Grade6
除	のぞ.く, -よ.け	ジョ, ジ	exclude, division (x/3), remove, abolish, cancel, except	en-us	Grade6
傷	きず, いた.む, いた.める	ショウ	wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point	en-us	Grade6
将	まさ.に, はた, まさ, ひきい.る, もって	ショウ, ソウ	leader, commander, general, admiral, or, and again, soon, from now on, just about	en-us	Grade6
障	さわ.る	ショウ	hinder, hurt, harm	en-us	Grade6
上	うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, よ.す	ジョウ, ショウ, シャン	above, up	en-us	Grade6
城	しろ	ジョウ	castle	en-us	Grade6
蒸	む.す, む.れる, む.らす	ジョウ, セイ	steam, heat, sultry, foment, get musty	en-us	Grade6
針	はり	シン	needle, pin, staple, stinger	en-us	Grade6
仁		ジン, ニ, ニン	humanity, virtue, benevolence, charity, man, kernel	en-us	Grade6
垂	た.れる, た.らす, た.れ, -た.れ, なんなんと.す	スイ	droop, suspend, hang, slouch	en-us	Grade6
推	お.す	スイ	conjecture, infer, guess, suppose, support, push (for)	en-us	Grade6
寸		スン	measurement, foot/10, a little, small	en-us	Grade6
盛	も.る, さか.る, さか.ん	セイ, ジョウ	boom, prosper, copulate	en-us	Grade6
聖	ひじり	セイ, ショウ	holy, saint, sage, master, priest	en-us	Grade6
誠	まこと	セイ	sincerity, admonish, warn, prohibit, truth, fidelity	en-us	Grade6
宣	のたま.う	セン	proclaim, say, announce	en-us	Grade6
専	もっぱ.ら	セン	specialty, exclusive, mainly, solely	en-us	Grade6
泉	いずみ	セン	spring, fountain	en-us	Grade6
洗	あら.う	セン	wash, inquire into, probe	en-us	Grade6
染	そ.める, -ぞ.め, -ぞめ, そ.まる, し.みる, -じ.みる, し.み, -し.める	セン	dye, color, paint, stain, print	en-us	Grade6
善	よ.い, い.い, よ.く, よし.とする	ゼン	virtuous, good, goodness	en-us	Grade6
創	つく.る, はじ.める, きず, けず.しける	ソウ, ショウ	genesis, wound, injury, hurt, start, originate	en-us	Grade6
奏	かな.でる	ソウ	play music, speak to a ruler, complete	en-us	Grade6
層		ソウ	stratum, social class, layer, story, floor	en-us	Grade6
操	みさお, あやつ.る	ソウ, サン	maneuver, manipulate, operate, steer, chastity, virginity, fidelity	en-us	Grade6
窓	まど, てんまど, けむだし	ソウ, ス	window, pane	en-us	Grade6
装	よそお.う, よそお.い	ソウ, ショウ	attire, dress, pretend, disguise, profess	en-us	Grade6
臓	はらわた	ゾウ	entrails, viscera, bowels	en-us	Grade6
蔵	くら, おさ.める, かく.れる	ゾウ, ソウ	storehouse, hide, own, have, possess	en-us	Grade6
存		ソン, ゾン	exist, suppose, be aware of, believe, feel	en-us	Grade6
尊	たっと.い, とうと.い, たっと.ぶ, とうと.ぶ	ソン	revered, valuable, precious, noble, exalted	en-us	Grade6
宅		タク	home, house, residence, our house, my husband	en-us	Grade6
担	かつ.ぐ, にな.う	タン	shouldering, carry, raise, bear	en-us	Grade6
探	さぐ.る, さが.す	タン	grope, search, look for	en-us	Grade6
誕		タン	nativity, be born, declension, lie, be arbitrary	en-us	Grade6
暖	あたた.か, あたた.かい, あたた.まる, あたた.める	ダン, ノン	warmth	en-us	Grade6
段		ダン, タン	grade, steps, stairs	en-us	Grade6
値	ね, あたい	チ	price, cost, value	en-us	Grade6
宙		チュウ	mid-air, air, space, sky, memorization, interval of time	en-us	Grade6
忠		チュウ	loyalty, fidelity, faithfulness	en-us	Grade6
著	あらわ.す, いちじる.しい	チョ, チャク	renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suits of clothing, literary work	en-us	Grade6
庁	やくしょ	チョウ, テイ	government office	en-us	Grade6
潮	しお, うしお	チョウ	tide, salt water, opportunity	en-us	Grade6
頂	いただ.く, いただき	チョウ	place on the head, receive, top of head, top, summit, peak	en-us	Grade6
賃		チン	fare, fee, hire, rent, wages, charge	en-us	Grade6
痛	いた.い, いた.む, いた.ましい, いた.める	ツウ	pain, hurt, damage, bruise	en-us	Grade6
展		テン	unfold, expand	en-us	Grade6
党	なかま, むら	トウ	party, faction, clique	en-us	Grade6
糖		トウ	sugar	en-us	Grade6
討	う.つ	トウ	chastise, attack, defeat, destroy, conquer	en-us	Grade6
届	とど.ける, -とど.け, とど.く	カイ	deliver, reach, arrive, report, notify, forward	en-us	Grade6
難	かた.い, -がた.い, むずか.しい, むづか.しい, むつか.しい, -にく.い	ナン	difficult, impossible, trouble, accident, defect	en-us	Grade6
乳	ちち, ち	ニュウ	milk, breasts	en-us	Grade6
認	みと.める, したた.める	ニン	acknowledge, witness, discern, recognize, appreciate, believe	en-us	Grade6
納	おさ.める, -おさ.める, おさ.まる	ノウ, ナッ, ナ, ナン, トウ	settlement, obtain, reap, pay, supply, store	en-us	Grade6
脳	のうずる	ノウ, ドウ	brain, memory	en-us	Grade6
派		ハ	faction, group, party, clique, sect, school	en-us	Grade6
俳		ハイ	haiku, actor	en-us	Grade6
拝	おが.む, おろが.む	ハイ	worship, adore, pray to	en-us	Grade6
背	せ, せい, そむ.く, そむ.ける	ハイ	stature, height, back, behind, disobey, defy, go back on, rebel	en-us	Grade6
肺		ハイ	lungs	en-us	Grade6
班		ハン	squad, corps, unit, group	en-us	Grade6
晩		バン	nightfall, night	en-us	Grade6
否	いな, いや	ヒ	negate, no, noes, refuse, decline, deny	en-us	Grade6
批		ヒ	criticism, strike	en-us	Grade6
秘	ひ.める, ひそ.か, かく.す	ヒ	secret, conceal	en-us	Grade6
腹	はら	フク	abdomen, belly, stomach	en-us	Grade6
奮	ふる.う	フン	stirred up, be invigorated, flourish	en-us	Grade6
並	な.み, なみ, なら.べる, なら.ぶ, なら.びに	ヘイ, ホウ	row, and, besides, as well as, line up, rank with, rival, equal	en-us	Grade6
閉	と.じる, と.ざす, し.める, し.まる, た.てる	ヘイ	closed, shut	en-us	Grade6
陛		ヘイ	highness, steps (of throne)	en-us	Grade6
片	かた-, かた	ヘン	one-sided, leaf, sheet, right-side kata radical (no. 91)	en-us	Grade6
補	おぎな.う	ホ	supplement, supply, make good, offset, compensate, assistant, learner	en-us	Grade6
暮	く.れる, く.らす	ボ	evening, twilight, season&apos;s end, livelihood, make a living, spend time	en-us	Grade6
宝	たから	ホウ	treasure, wealth, valuables	en-us	Grade6
