男の子,おとこのこ,,boy,en-us,JLPT 5
一昨日,おととい,,day before yesterday,en-us,JLPT 5
一昨年,おととし,,year before last,en-us,JLPT 5
大人,おとな,,adult,en-us,JLPT 5
,おなか,,stomach,en-us,JLPT 5
同じ,おなじ,,same,en-us,JLPT 5
お兄さん,おにいさん,,(honorable) older brother,en-us,JLPT 5
お姉さん,おねえさん,,(honorable) older sister,en-us,JLPT 5
,おばあさん,,"grandmother,female senior-citizen",en-us,JLPT 5
伯母さん/叔母さん,おばさん,,aunt,en-us,JLPT 5
お風呂,おふろ,,bath,en-us,JLPT 5
お弁当,おべんとう,,boxed lunch,en-us,JLPT 5
覚える,おぼえる,,to remember,en-us,JLPT 5
,おまわりさん,,friendly term for policeman,en-us,JLPT 5
重い,おもい,,heavy,en-us,JLPT 5
,おもしろい,,interesting,en-us,JLPT 5
泳ぐ,およぐ,,to swim,en-us,JLPT 5
降りる,おりる,,"to get off, to descend",en-us,JLPT 5
終る,おわる,,to finish,en-us,JLPT 5
音楽,おんがく,,music,en-us,JLPT 5
女,おんな,,woman,en-us,JLPT 5
女の子,おんなのこ,,girl,en-us,JLPT 5
外国,がいこく,,foreign country,en-us,JLPT 5
外国人,がいこくじん,,foreigner,en-us,JLPT 5
会社,かいしゃ,,company,en-us,JLPT 5
階段,かいだん,,stairs,en-us,JLPT 5
買い物,かいもの,,shopping,en-us,JLPT 5
買う,かう,,to buy,en-us,JLPT 5
返す,かえす,,to return something,en-us,JLPT 5
帰る,かえる,,to go back,en-us,JLPT 5
,かかる,,to take time or money,en-us,JLPT 5
,かぎ,,key,en-us,JLPT 5
書く,かく,,to write,en-us,JLPT 5
学生,がくせい,,student,en-us,JLPT 5
,かける,,to call by phone,en-us,JLPT 5
傘,かさ,,umbrella,en-us,JLPT 5
貸す,かす,,to lend,en-us,JLPT 5
風,かぜ,,wind,en-us,JLPT 5
風邪,かぜ,,a cold,en-us,JLPT 5
家族,かぞく,,family,en-us,JLPT 5
方,かた,,"person, way of doing",en-us,JLPT 5
学校,がっこう,,school,en-us,JLPT 5
,,カップ,cup,en-us,JLPT 5
家庭,かてい,,household,en-us,JLPT 5
角,かど,,a corner,en-us,JLPT 5
,かばん,,"bag,basket",en-us,JLPT 5
花瓶,かびん,,a vase,en-us,JLPT 5
紙,かみ,,paper,en-us,JLPT 5
,,カメラ,camera,en-us,JLPT 5
火曜日,かようび,,Tuesday,en-us,JLPT 5
辛い,からい,,spicy,en-us,JLPT 5
体,からだ,,body,en-us,JLPT 5
借りる,かりる,,to borrow,en-us,JLPT 5
軽い,かるい,,light,en-us,JLPT 5
,,カレー,curry,en-us,JLPT 5
,,カレンダー,calendar,en-us,JLPT 5
川/河,かわ,,river,en-us,JLPT 5
,かわいい,,cute,en-us,JLPT 5
漢字,かんじ,,Chinese character,en-us,JLPT 5
木,き,,"tree,wood",en-us,JLPT 5
黄色,きいろ,,yellow,en-us,JLPT 5
黄色い,きいろい,,yellow,en-us,JLPT 5
消える,きえる,,to disappear,en-us,JLPT 5
聞く,きく,,"to hear,to listen to,to ask",en-us,JLPT 5
北,きた,,north,en-us,JLPT 5
,,ギター,guitar,en-us,JLPT 5
汚い,きたない,,dirty,en-us,JLPT 5
