引	ひ.く, ひ.き, ひ.き-, -び.き, ひ.ける	イン	pull, tug, jerk, admit, install, quote, refer to	en-us	Grade2
羽	は, わ, はね	ウ	feathers, counter for birds or rabbits	en-us	Grade2
雲	くも, -ぐも	ウン	cloud	en-us	Grade2
園	その	エン	park, garden, yard, farm	en-us	Grade2
遠	とお.い	エン, オン	distant, far	en-us	Grade2
黄	き, こ-	コウ, オウ	yellow	en-us	Grade2
何	なに, なん, なに-, なん-	カ	what	en-us	Grade2
夏	なつ	カ, ガ, ゲ	summer	en-us	Grade2
家	いえ, や, うち	カ, ケ	house, home, family, professional, expert, performer	en-us	Grade2
科		カ	department, course, section	en-us	Grade2
歌	うた, うた.う	カ	song, sing	en-us	Grade2
画	えが.く, かく.する, かぎ.る, はかりごと, はか.る	ガ, カク, エ, カイ	brush-stroke, picture	en-us	Grade2
会	あ.う, あ.わせる, あつ.まる	カイ, エ	meeting, meet, party, association, interview, join	en-us	Grade2
回	まわ.る, -まわ.る, -まわ.り, まわ.す, -まわ.す, まわ.し-, -まわ.し, もとお.る, か.える	カイ, エ	-times, round, game, revolve, counter for occurrences	en-us	Grade2
海	うみ	カイ	sea, ocean	en-us	Grade2
絵		カイ, エ	picture, drawing, painting, sketch	en-us	Grade2
外	そと, ほか, はず.す, はず.れる, と-	ガイ, ゲ	outside	en-us	Grade2
角	かど, つの	カク	angle, corner, square, horn, antlers	en-us	Grade2
楽	たの.しい, たの.しむ, この.む	ガク, ラク, ゴウ	music, comfort, ease	en-us	Grade2
活	い.きる, い.かす, い.ける	カツ	lively, resuscitation, being helped, living	en-us	Grade2
間	あいだ, ま, あい	カン, ケン	interval, space	en-us	Grade2
丸	まる, まる.める, まる.い	ガン	round, full (month), perfection, -ship, pills, make round, roll up, curl up, seduce, explain away	en-us	Grade2
岩	いわ	ガン	boulder, rock, cliff	en-us	Grade2
顔	かお	ガン	face, expression	en-us	Grade2
帰	かえ.る, かえ.す, おく.る, とつ.ぐ	キ	homecoming, arrive at, lead to, result in	en-us	Grade2
汽		キ	vapor, steam	en-us	Grade2
記	しる.す	キ	scribe, account, narrative	en-us	Grade2
弓	ゆみ	キュウ	bow, bow (archery&#x002C; violin)	en-us	Grade2
牛	うし	ギュウ	cow	en-us	Grade2
魚	うお, さかな, -ざかな	ギョ	fish	en-us	Grade2
京	みやこ	キョウ, ケイ, キン	capital, 10**16	en-us	Grade2
強	つよ.い, つよ.まる, つよ.める, し.いる, こわ.い	キョウ, ゴウ	strong	en-us	Grade2
教	おし.える, おそ.わる	キョウ	teach, faith, doctrine	en-us	Grade2
近	ちか.い	キン, コン	near, early, akin, tantamount	en-us	Grade2
兄	あに	ケイ, キョウ	elder brother, big brother	en-us	Grade2
形	かた, -がた, かたち, なり	ケイ, ギョウ	shape, form, style	en-us	Grade2
計	はか.る, はか.らう	ケイ	plot, plan, scheme, measure	en-us	Grade2
元	もと	ゲン, ガン	beginning, former time, origin	en-us	Grade2
原	はら	ゲン	meadow, original, primitive, field, plain, prairie, tundra, wilderness	en-us	Grade2
言	い.う, こと	ゲン, ゴン	say	en-us	Grade2
古	ふる.い, ふる-, -ふる.す	コ	old	en-us	Grade2
戸	と	コ	door, counter for houses, door radical (no. 63)	en-us	Grade2
午	うま	ゴ	noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac	en-us	Grade2
