悪	わる.い, わる-, あ.し, にく.い, -にく.い, ああ, いずくに, いずくんぞ, にく.む	アク, オ	bad, vice, rascal, false, evil, wrong	en-us	Grade3
安	やす.い, やす.まる, やす, やす.らか	アン	relax, cheap, low, quiet, rested, contented, peaceful	en-us	Grade3
暗	くら.い, くら.む, くれ.る	アン	darkness, disappear, shade, informal, grow dark, be blinded	en-us	Grade3
委	ゆだ.ねる	イ	committee, entrust to, leave to, devote, discard	en-us	Grade3
意		イ	idea, mind, heart, taste, thought, desire, care, liking	en-us	Grade3
医	い.やす, い.する, くすし	イ	doctor, medicine	en-us	Grade3
育	そだ.つ, そだ.ち, そだ.てる, はぐく.む	イク	bring up, grow up, raise, rear	en-us	Grade3
員		イン	employee, member, number, the one in charge	en-us	Grade3
飲	の.む, -の.み	イン, オン	drink, smoke, take	en-us	Grade3
院		イン	Inst., institution, temple, mansion, school	en-us	Grade3
運	はこ.ぶ	ウン	carry, luck, destiny, fate, lot, transport, progress, advance	en-us	Grade3
泳	およ.ぐ	エイ	swim	en-us	Grade3
駅		エキ	station	en-us	Grade3
央		オウ	center, middle	en-us	Grade3
横	よこ	オウ	sideways, side, horizontal, width, woof, unreasonable, perverse	en-us	Grade3
屋	や	オク	roof, house, shop, dealer, seller	en-us	Grade3
温	あたた.か, あたた.かい, あたた.まる, あたた.める, ぬく	オン	warm	en-us	Grade3
化	ば.ける, ば.かす, ふ.ける, け.する	カ, ケ	change, take the form of, influence, enchant, delude, -ization	en-us	Grade3
荷	に	カ	baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight	en-us	Grade3
界		カイ	world, boundary	en-us	Grade3
開	ひら.く, ひら.き, -びら.き, ひら.ける, あ.く, あ.ける	カイ	open, unfold, unseal	en-us	Grade3
階	きざはし	カイ	storey, stair, counter for storeys of a building	en-us	Grade3
寒	さむ.い	カン	cold	en-us	Grade3
感		カン	emotion, feeling, sensation	en-us	Grade3
漢		カン	Sino-, China	en-us	Grade3
館	やかた, たて	カン	building, mansion, large building, palace	en-us	Grade3
岸	きし	ガン	beach	en-us	Grade3
期		キ, ゴ	period, time, date, term	en-us	Grade3
起	お.きる, お.こる, お.こす, おこ.す, た.つ	キ	rouse, wake up, get up	en-us	Grade3
客		キャク, カク	guest, visitor, customer, client	en-us	Grade3
宮	みや	キュウ, グウ, ク, クウ	Shinto shrine, constellations, palace, princess	en-us	Grade3
急	いそ.ぐ, いそ.ぎ	キュウ	hurry, emergency, sudden, steep	en-us	Grade3
球	たま	キュウ	ball, sphere	en-us	Grade3
究	きわ.める	キュウ, ク	research, study	en-us	Grade3
級		キュウ	class, rank, grade	en-us	Grade3
去	さ.る, -さ.る	キョ, コ	gone, past, quit, leave, elapse, eliminate, divorce	en-us	Grade3
橋	はし	キョウ	bridge	en-us	Grade3
業	わざ	ギョウ, ゴウ	business, vocation, arts, performance	en-us	Grade3
局	つぼね	キョク	bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment	en-us	Grade3
曲	ま.がる, ま.げる, くま	キョク	bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean	en-us	Grade3
銀	しろがね	ギン	silver	en-us	Grade3
区		ク, オウ, コウ	ward, district	en-us	Grade3
苦	くる.しい, -ぐる.しい, くる.しむ, くる.しめる, にが.い, にが.る	ク	suffering, trial, worry, hardship, feel bitter, scowl	en-us	Grade3
具	そな.える, つぶさ.に	グ	tool, utensil, means, possess, ingredients, counter for armor&#x002C; suits&#x002C; sets of furniture	en-us	Grade3
君	きみ, -ぎみ	クン	mister, you, ruler, male name suffix	en-us	Grade3
係	かか.る, かかり, -がかり, かか.わる	ケイ	person in charge, connection, duty, concern oneself	en-us	Grade3
軽	かる.い, かろ.やか, かろ.んじる	ケイ	lightly, trifling, unimportant	en-us	Grade3
決	き.める, -ぎ.め, き.まる, さ.く	ケツ	decide, fix, agree upon, appoint	en-us	Grade3
血	ち	ケツ	blood	en-us	Grade3
