一	ひと-, ひと.つ	イチ, イツ	one, one radical (no.1)	en-us	Grade1
右	みぎ	ウ, ユウ	right	en-us	Grade1
雨	あめ, あま-, -さめ	ウ	rain	en-us	Grade1
円	まる.い, まる, まど, まど.か, まろ.やか	エン	circle, yen, round	en-us	Grade1
王		オウ, -ノウ	king, rule, magnate	en-us	Grade1
音	おと, ね	オン, イン, -ノン	sound, noise	en-us	Grade1
下	した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる	カ, ゲ	below, down, descend, give, low, inferior	en-us	Grade1
火	ひ, -び, ほ-	カ	fire	en-us	Grade1
花	はな	カ, ケ	flower	en-us	Grade1
貝	かい	バイ	shellfish	en-us	Grade1
学	まな.ぶ	ガク	study, learning, science	en-us	Grade1
気	いき	キ, ケ	spirit, mind, air, atmosphere, mood	en-us	Grade1
休	やす.む, やす.まる, やす.める	キュウ	rest, day off, retire, sleep	en-us	Grade1
玉	たま, たま-, -だま	ギョク	jewel, ball	en-us	Grade1
金	かね, かな-, -がね	キン, コン, ゴン	gold	en-us	Grade1
九	ここの, ここの.つ	キュウ, ク	nine	en-us	Grade1
空	そら, あ.く, あ.き, あ.ける, から, す.く, す.かす, むな.しい	クウ	empty, sky, void, vacant, vacuum	en-us	Grade1
月	つき	ゲツ, ガツ	month, moon	en-us	Grade1
犬	いぬ, いぬ-	ケン	dog	en-us	Grade1
見	み.る, み.える, み.せる	ケン	see, hopes, chances, idea, opinion, look at, visible	en-us	Grade1
五	いつ, いつ.つ	ゴ	five	en-us	Grade1
口	くち	コウ, ク	mouth	en-us	Grade1
校		コウ, キョウ	exam, school, printing, proof, correction	en-us	Grade1
左	ひだり	サ, シャ	left	en-us	Grade1
三	み, み.つ, みっ.つ	サン, ゾウ	three	en-us	Grade1
山	やま	サン, セン	mountain	en-us	Grade1
四	よ, よ.つ, よっ.つ, よん	シ	four	en-us	Grade1
子	こ, -こ, ね	シ, ス, ツ	child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac	en-us	Grade1
糸	いと	シ	thread	en-us	Grade1
字	あざ, あざな, -な	ジ	character, letter, word, section of village	en-us	Grade1
耳	みみ	ジ	ear	en-us	Grade1
七	なな, なな.つ, なの	シチ	seven	en-us	Grade1
車	くるま	シャ	car	en-us	Grade1
手	て, て-, -て, た-	シュ, ズ	hand	en-us	Grade1
十	とお, と	ジュウ, ジッ, ジュッ	ten	en-us	Grade1
出	で.る, -で, だ.す, -だ.す, い.でる, い.だす	シュツ, スイ	exit, leave, go out, come out, put out, protrude	en-us	Grade1
女	おんな, め	ジョ, ニョ, ニョウ	woman, female	en-us	Grade1
小	ちい.さい, こ-, お-, さ-	ショウ	little, small	en-us	Grade1
上	うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, よ.す	ジョウ, ショウ, シャン	above, up	en-us	Grade1
森	もり	シン	forest, woods	en-us	Grade1
人	ひと, -り, -と	ジン, ニン	person	en-us	Grade1
水	みず, みず-	スイ	water	en-us	Grade1
正	ただ.しい, ただ.す, まさ, まさ.に	セイ, ショウ	correct, justice, righteous, 10**40	en-us	Grade1
生	い.きる, い.かす, い.ける, う.まれる, うま.れる, う.まれ, うまれ, う.む, お.う, は.える, は.やす, き, なま, なま-, な.る, な.す, む.す, -う	セイ, ショウ	life, genuine, birth	en-us	Grade1
