康		コウ	ease, peace	en-us	Grade4
航		コウ	navigate, sail, cruise, fly	en-us	Grade4
告	つ.げる	コク	revelation, tell, inform, announce	en-us	Grade4
差	さ.す, さ.し	サ	distinction, difference, variation, discrepancy, margin, balance	en-us	Grade4
最	もっと.も, つま	サイ, シュ	utmost, most, extreme	en-us	Grade4
菜	な	サイ	vegetable, side dish, greens	en-us	Grade4
材		ザイ	lumber, log, timber, wood, materials, ingredients, talent	en-us	Grade4
昨		サク	yesterday, previous	en-us	Grade4
刷	す.る, -ず.り, -ずり, は.く	サツ	printing, print, brush	en-us	Grade4
察		サツ	guess, presume, surmise, judge, understand	en-us	Grade4
札	ふだ	サツ	tag, paper money, counter for bonds, placard, bid	en-us	Grade4
殺	ころ.す, -ごろ.し, そ.ぐ	サツ, サイ, セツ	kill, murder, butcher, slice off, split, diminish, reduce, spoil	en-us	Grade4
参	まい.る, まい-, まじわる, みつ	サン, シン	nonplussed, three (in documents), going, coming, visiting, visit, be defeated, die, be madly in love, participate, take part in	en-us	Grade4
散	ち.る, ち.らす, -ち.らす, ち.らかす, ち.らかる, ち.らばる, ばら, ばら.ける	サン	scatter, disperse, spend, squander	en-us	Grade4
産	う.む, う.まれる, うぶ-, む.す	サン	products, bear, give birth, yield, childbirth, native, property	en-us	Grade4
残	のこ.る, のこ.す, そこな.う, のこ.り	ザン, サン	remainder, leftover, balance	en-us	Grade4
司	つかさど.る	シ	director, official, govt office, rule, administer	en-us	Grade4
史		シ	history, chronicle	en-us	Grade4
士	さむらい	シ	gentleman, samurai, samurai radical (no. 33)	en-us	Grade4
氏	うじ, -うじ	シ	family name, surname, clan	en-us	Grade4
試	こころ.みる, ため.す	シ	test, try, attempt, experiment, ordeal	en-us	Grade4
児	こ, -こ, -っこ	ジ, ニ, ゲイ	newborn babe, child, young of animals	en-us	Grade4
治	おさ.める, おさ.まる, なお.る, なお.す	ジ, チ	reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve	en-us	Grade4
辞	や.める, いな.む	ジ	resign, word, term, expression	en-us	Grade4
失	うしな.う, う.せる	シツ	lose, error, fault, disadvantage, loss	en-us	Grade4
借	か.りる	シャク	borrow, rent	en-us	Grade4
種	たね, -ぐさ	シュ	species, kind, class, variety, seed	en-us	Grade4
周	まわ.り	シュウ	circumference, circuit, lap	en-us	Grade4
祝	いわ.う	シュク, シュウ	celebrate, congratulate	en-us	Grade4
順		ジュン	obey, order, turn, right, docility, occasion	en-us	Grade4
初	はじ.め, はじ.めて, はつ, はつ-, うい-, -そ.める, -ぞ.め	ショ	first time, beginning	en-us	Grade4
唱	とな.える	ショウ	chant, recite, call upon, yell	en-us	Grade4
松	まつ	ショウ	pine tree	en-us	Grade4
焼	や.く, や.き, や.き-, -や.き, や.ける	ショウ	bake, burning	en-us	Grade4
照	て.る, て.らす, て.れる	ショウ	illuminate, shine, compare, bashful	en-us	Grade4
省	かえり.みる, はぶ.く	セイ, ショウ	focus, government ministry, conserve	en-us	Grade4
笑	わら.う, え.む	ショウ	laugh	en-us	Grade4
象	かたど.る	ショウ, ゾウ	elephant, pattern after, imitate, image, shape, sign (of the times)	en-us	Grade4
賞	ほ.める	ショウ	prize, reward, praise	en-us	Grade4
信		シン	faith, truth, fidelity, trust	en-us	Grade4
臣		シン, ジン	retainer, subject	en-us	Grade4
成	な.る, な.す, -な.す	セイ, ジョウ	turn into, become, get, grow, elapse, reach	en-us	Grade4
清	きよ.い, きよ.まる, きよ.める	セイ, ショウ, シン	pure, purify, cleanse, exorcise, Manchu dynasty	en-us	Grade4
静	しず-, しず.か, しず.まる, しず.める	セイ, ジョウ	quiet	en-us	Grade4
席	むしろ	セキ	seat, mat, occasion, place	en-us	Grade4
積	つ.む, -づ.み, つ.もる, つ.もり	セキ	volume, product (x*y), acreage, contents, pile up, stack, load, amass	en-us	Grade4
折	お.る, おり, お.り, -お.り, お.れる	セツ	fold, break, fracture, bend, yield, submit	en-us	Grade4
節	ふし, -ぶし, のっと	セツ, セチ	node, season, period, occasion, verse, clause, stanza, honor, joint, knuckle, knob, knot, tune, melody	en-us	Grade4
説	と.く	セツ, ゼイ	opinion, theory, explanation, rumor	en-us	Grade4
戦	いくさ, たたか.う, おのの.く, そよ.ぐ, わなな.く	セン	war, battle, match	en-us	Grade4
浅	あさ.い	セン	shallow, superficial, frivolous, wretched, shameful	en-us	Grade4
選	えら.ぶ	セン	elect, select, choose, prefer	en-us	Grade4
然	しか, しか.り, しか.し, さ	ゼン, ネン	sort of thing, so, if so, in that case, well	en-us	Grade4
倉	くら	ソウ	godown, warehouse, storehouse, cellar, treasury	en-us	Grade4
巣	す, す.くう	ソウ	nest, rookery, hive, cobweb, den	en-us	Grade4
争	あらそ.う, いか.でか	ソウ	contend, dispute, argue	en-us	Grade4
側	かわ, がわ, そば	ソク	side, lean, oppose, regret	en-us	Grade4
束	たば, たば.ねる, つか, つか.ねる	ソク	bundle, sheaf, ream, tie in bundles, govern, manage, control	en-us	Grade4
続	つづ.く, つづ.ける, つぐ.ない	ゾク, ショク, コウ, キョウ	continue, series, sequel	en-us	Grade4
卒	そっ.する, お.える, お.わる, ついに, にわか	ソツ, シュツ	graduate, soldier, private, die	en-us	Grade4
孫	まご	ソン	grandchild, descendants	en-us	Grade4
帯	お.びる, おび	タイ	sash, belt, obi, zone, region	en-us	Grade4
隊		タイ	regiment, party, company, squad	en-us	Grade4
達	-たち	タツ, ダ	accomplished, reach, arrive, attain	en-us	Grade4
単	ひとえ	タン	simple, one, single, merely	en-us	Grade4
置	お.く, -お.き	チ	placement, put, set, deposit, leave behind, keep, employ, pawn	en-us	Grade4
仲	なか	チュウ	go-between, relationship	en-us	Grade4
貯	た.める, たくわ.える	チョ	savings, store, lay in, keep, wear mustache	en-us	Grade4
兆	きざ.す, きざ.し	チョウ	portent, 10**12, trillion, sign, omen, symptoms	en-us	Grade4
腸	はらわた, わた	チョウ	intestines, guts, bowels, viscera	en-us	Grade4
低	ひく.い, ひく.める, ひく.まる	テイ	lower, short, humble	en-us	Grade4
停	と.める, と.まる	テイ	halt, stopping	en-us	Grade4
底	そこ	テイ	bottom, sole, depth, bottom price, base, kind, sort	en-us	Grade4
的	まと	テキ	bull&apos;s eye, mark, target, object, adjective ending	en-us	Grade4
典		テン, デン	code, ceremony, law, rule	en-us	Grade4
伝	つた.わる, つた.える, つた.う, つだ.う, -づた.い, つて	デン, テン	transmit, go along, walk along, follow, report, communicate, legend, tradition	en-us	Grade4
徒	いたずら, あだ	ト	on foot, junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people	en-us	Grade4
努	つと.める	ド	toil, diligent, as much as possible	en-us	Grade4
灯	ひ, ほ-, ともしび, とも.す, あかり	トウ	lamp, a light, light, counter for lights	en-us	Grade4
働	はたら.く	ドウ, リュク, リキ, ロク, リョク	work, (kokuji)	en-us	Grade4
堂		ドウ	public chamber, hall	en-us	Grade4
得	え.る, う.る	トク	gain, get, find, earn, acquire, can, may, able to, profit, advantage, benefit	en-us	Grade4
特		トク	special	en-us	Grade4
毒		ドク	poison, virus, venom, germ, harm, injury, spite	en-us	Grade4
熱	あつ.い	ネツ	heat, temperature, fever, mania, passion	en-us	Grade4
念		ネン	wish, sense, idea, thought, feeling, desire, attention	en-us	Grade4
敗	やぶ.れる	ハイ	failure, defeat, reversal	en-us	Grade4
梅	うめ	バイ	plum	en-us	Grade4
博		ハク, バク	Dr., command, esteem, win acclaim, Ph.D., exposition, fair	en-us	Grade4
飯	めし	ハン	meal, boiled rice	en-us	Grade4
費	つい.やす, つい.える	ヒ	expense, cost, spend, consume, waste	en-us	Grade4
飛	と.ぶ, と.ばす, -と.ばす	ヒ	fly, skip (pages), scatter	en-us	Grade4
必	かなら.ず	ヒツ	invariably, certain, inevitable	en-us	Grade4
標	しるべ, しるし	ヒョウ	signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir, target	en-us	Grade4
票		ヒョウ	ballot, label, ticket, sign	en-us	Grade4
不		フ, ブ	negative, non-, bad, ugly, clumsy	en-us	Grade4
付	つ.ける, -つ.ける, -づ.ける, つ.け, つ.け-, -つ.け, -づ.け, -づけ, つ.く, -づ.く, つ.き, -つ.き, -つき, -づ.き, -づき	フ	adhere, attach, refer to, append	en-us	Grade4
夫	おっと, それ	フ, フウ, ブ	husband, man	en-us	Grade4
府		フ	borough, urban prefecture, govt office, representative body, storehouse	en-us	Grade4
副		フク	vice-, assistant, aide, duplicate, copy	en-us	Grade4
粉	デシメートル, こ, こな	フン	flour, powder, dust	en-us	Grade4
兵	つわもの	ヘイ, ヒョウ	soldier, private, troops, army, warfare, strategy, tactics	en-us	Grade4
別	わか.れる, わ.ける	ベツ	separate, branch off, diverge, fork, another, extra, specially	en-us	Grade4
変	か.わる, か.わり, か.える	ヘン	unusual, change, strange	en-us	Grade4
辺	あた.り, ほと.り, -べ	ヘン	environs, boundary, border, vicinity	en-us	Grade4
便	たよ.り	ベン, ビン	convenience, facility, excrement, feces, letter, chance	en-us	Grade4
包	つつ.む, くる.む	ホウ	wrap, pack up, cover, conceal	en-us	Grade4
法	のり	ホウ, ハッ, ホッ, フラン	method, law, rule, principle, model, system	en-us	Grade4
望	のぞ.む, もち	ボウ, モウ	ambition, full moon, hope, desire, aspire to, expect	en-us	Grade4
牧	まき	ボク	breed, care for, shepherd, feed, pasture	en-us	Grade4
末	すえ	マツ, バツ	end, close, tip, powder, posterity	en-us	Grade4
